		0.02	110.222	118.957	158.236	50.0	21.5
0.000	0.000	4.58	111.987	121.034	160.631	50.0	29.3
0.000	0.000	4.60	111.988	120.926	160.764	50.0	30.0
0.000	0.000	4.62	111.226	121.056	159.955	50.0	31.3
0.000	0.000	4.64	111.833	121.034	160.595	50.0	30.7
0.000	0.000	4.66	111.787	121.007	160.576	50.0	34.2
0.000	0.000	4.68	111.287	121.085	160.200	50.0	32.4
0.000	0.000	4.70	111.985	121.274	160.843	50.0	35.1
0.000	0.000	4.72	111.991	121.235	160.882	50.0	26.1
0.000	0.000	4.74	111.459	121.286	160.449	50.0	33.0
0.000	0.000	4.76	111.862	121.318	160.622	50.0	36.3
0.000	0.000	4.78	111.916	120.958	160.831	50.0	35.8
0.000	0.000	4.80	111.444	121.055	160.248	50.0	33.3
0.000	0.000	4.82	111.957	120.992	160.710	50.0	35.1
0.000	0.000	4.84	112.138	120.797	160.740	50.0	35.1
0.000	0.000	4.86	111.442	120.786	160.066	50.0	31.3
0.000	0.000	4.88	111.924	120.785	160.572	50.0	35.1
0.000	0.000	4.90	111.753	120.714	160.648	50.0	35.4
0.000	0.000	4.92	111.287	120.816	160.151	50.0	34.8
0.000	0.000	4.94	111.615	120.901	160.500	50.0	35.5
0.000	0.000	4.96	111.810	120.770	160.533	50.0	36.4
0.000	0.000	4.98	111.326	120.835	160.209	50.0	34.3
0.000	0.000	5.00	111.831	120.752	160.649	50.0	35.6
0.000	0.000	5.02	111.678	121.010	160.452	50.0	34.1
0.000	0.000	5.04	111.394	120.789	160.283	50.0	32.5
0.000	0.000	5.06	111.947	120.801	160.774	50.0	35.0
0.000	0.000	5.08	112.112	120.664	160.826	50.0	32.2
0.000	0.000	5.10	111.204	120.731	160.053	50.0	34.0
0.000	0.000	5.12	111.749	120.653	160.709	50.0	35.0
0.000	0.000	5.14	111.844	120.702	160.696	50.0	34.9
0.000	0.000	5.16	111.345	120.812	160.202	50.0	33.4
0.000	0.000	5.18	111.885	120.762	160.809	50.0	35.3
0.000	0.000	5.20	111.906	120.832	160.702	50.0	35.2
0.000	0.000	5.22	111.449	120.867	160.385	50.0	32.4
0.000	0.000	5.24	111.850	120.864	160.751	50.0	33.0
0.000	0.000	5.26	111.608	121.069	160.654	50.0	36.3
0.000	0.000	5.28	111.404	120.951	160.400	50.0	35.3
0.000	0.000	5.30	111.525	121.090	160.351	50.0	36.8
0.000	0.000	5.32	111.774	120.799	160.738	50.0	35.1
0.000	0.000	5.34	111.447	121.073	160.371	50.0	35.9
0.000	0.000	5.36	111.863	121.272	160.769	50.0	38.5
0.000	0.000	5.38	112.219	121.028	160.952	50.0	34.6
0.000	0.000	5.40	111.571	121.268	160.562	50.0	33.5
0.000	0.000	5.42	111.877	121.358	160.933	50.0	33.6
0.000	0.000	5.44	112.067	121.259	161.179	50.0	31.6
0.000	0.000	5.46	111.557	121.396	160.691	50.0	27.1
0.000	0.000	5.48	112.159	121.256	161.208	50.0	33.6
0.000	0.000	5.50	112.073	121.430	161.097	50.0	34.6
0.000	0.000	5.52	111.709	121.307	160.768	50.0	29.8
0.000	0.000	5.54	112.099	121.212	161.225	50.0	33.4
0.000	0.000	5.56	112.368	121.137	161.423	50.0	35.5
0.000	0.000	5.58	111.530	120.982	160.658	50.0	33.6
0.000	0.000	5.60	112.009	120.967	161.145	50.0	34.7
0.000	0.000	5.62	112.029	120.887	161.183	50.0	36.4
0.000	0.000	5.64	111.409	121.046	160.641	50.0	33.5
0.000	0.000	5.66	111.897	120.972	161.194	50.0	36.4
0.000	0.000	5.68	111.889	120.896	161.123	50.0	33.9
0.000	0.000	5.70	111.563	121.113	160.582	50.0	32.8
0.000	0.000	5.72	111.854	121.134	160.848	50.0	36.0
0.000	0.000	5.74	111.901	120.906	160.946	50.0	33.3
0.000	0.000	5.76	111.421	121.037	160.531	50.0	35.9
