4.86,126.497,126.497,126.497
4.88,126.456,126.456,126.456
4.9,126.502,126.502,126.502
4.92,126.621,126.621,126.621
4.94,125.055,125.055,125.055
4.96,125.159,125.159,125.159
4.98,123.339,123.339,123.339
5,123.645,123.645,123.645
5.02,123.393,123.393,123.393
5.04,123.564,123.564,123.564
5.06,123.68,123.68,123.68
5.08,123.789,123.789,123.789
5.1,123.678,123.678,123.678
5.12,123.962,123.962,123.962
5.14,123.954,123.954,123.954
5.16,124.042,124.042,124.042
5.18,124.138,124.138,124.138
5.2,124.226,124.226,124.226
5.22,124.251,124.251,124.251
5.24,124.328,124.328,124.328
5.26,124.392,124.392,124.392
5.28,124.367,124.367,124.367
5.3,124.471,124.471,124.471
5.32,124.21,124.21,124.21
5.34,123.874,123.874,123.874
5.36,123.993,123.993,123.993
5.38,124.008,124.008,124.008
5.4,123.965,123.965,123.965
5.42,124.1,124.1,124.1
5.44,124.097,124.097,124.097
5.46,124.052,124.052,124.052
5.48,124.249,124.249,124.249
5.5,124.316,124.316,124.316
5.52,124.299,124.299,124.299
5.54,124.602,124.602,124.602
5.56,124.714,124.714,124.714
5.58,124.645,124.645,124.645
5.6,124.853,124.853,124.853
5.62,124.902,124.902,124.902
5.64,124.877,124.877,124.877
5.66,124.983,124.983,124.983
5.68,125.038,125.038,125.038
5.7,125.057,125.057,125.057
5.72,125.146,125.146,125.146
5.74,125.031,125.031,125.031
5.76,124.931,124.931,124.931
5.78,124.873,124.873,124.873
5.8,124.814,124.814,124.814
5.82,124.68,124.68,124.68
5.84,124.756,124.756,124.756
5.86,124.788,124.788,124.788
5.88,124.644,124.644,124.644
5.9,124.715,124.715,124.715
5.92,124.704,124.704,124.704
5.94,124.565,124.565,124.565
5.96,124.724,124.724,124.724
5.98,124.725,124.725,124.725
6,124.591,124.591,124.591
6.02,124.626,124.626,124.626
6.04,124.68,124.68,124.68
6.06,124.607,124.607,124.607
6.08,124.701,124.701,124.701
6.1,124.634,124.634,124.634
6.12,124.438,124.438,124.438
6.14,124.552,124.552,124.552
6.16,124.505,124.505,124.505
6.18,124.371,124.371,124.371
6.2,124.402,124.402,124.402
6.22,124.41,124.41,124.41
6.24,124.379,124.379,124.379
6.26,124.429,124.429,124.429
6.28,124.429,124.429,124.429
6.3,124.293,124.293,124.293
6.32,124.405,124.405,124.405
6.34,124.425,124.425,124.425
6.36,124.468,124.468,124.468
6.38,124.55,124.55,124.55
6.4,124.481,124.481,124.481
6.42,124.421,124.421,124.421
6.44,124.517,124.517,124.517
6.46,124.459,124.459,124.459
6.48,124.389,124.389,124.389
6.5,124.48,124.48,124.48
6.52,124.429,124.429,124.429
6.54,124.46,124.46,124.46
6.56,124.625,124.625,124.625
6.58,124.647,124.647,124.647
6.6,124.547,124.547,124.547
6.62,124.487,124.487,124.487
6.64,124.465,124.465,124.465
6.66,124.475,124.475,124.475
6.68,124.454,124.454,124.454
6.7,124.387,124.387,124.387
6.72,124.296,124.296,124.296
6.74,124.286,124.286,124.286
6.76,124.376,124.376,124.376
6.78,124.341,124.341,124.341
6.8,124.425,124.425,124.425
6.82,124.41,124.41,124.41
6.84,124.382,124.382,124.382
